k_base,mag2,is_kmax,is_kfp,in_noise_win,thr
1.625000000000000000e+01,9.276230319796076069e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.637500000000000000e+01,1.758690099584082973e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.650000000000000000e+01,2.722886559314092035e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.662500000000000000e+01,3.722810118006138262e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.675000000000000000e+01,4.671156471883740753e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.687500000000000000e+01,5.499399839967403117e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.700000000000000000e+01,6.161068060196800086e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.712500000000000000e+01,6.630371663234167648e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.725000000000000000e+01,6.897998565886670496e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.737500000000000000e+01,6.966100261036531609e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.750000000000000000e+01,6.844032040254748592e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.762500000000000000e+01,6.545653197689422196e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.775000000000000000e+01,6.088313107592991519e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.787500000000000000e+01,5.493223580130540408e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.800000000000000000e+01,4.786706362229325962e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.812500000000000000e+01,4.001662590251511039e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.825000000000000000e+01,3.178453248778922649e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.837500000000000000e+01,2.364275746513943454e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.850000000000000000e+01,1.610257347574725609e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.862500000000000000e+01,9.660155277978792879e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.875000000000000000e+01,4.723222789189817883e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.887500000000000000e+01,1.534700213688450304e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.900000000000000000e+01,1.153702806320147619e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.912500000000000000e+01,2.461948610471894370e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.925000000000000000e+01,1.501436016804836231e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.937500000000000000e+01,3.328732462889433101e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.950000000000000000e+01,5.157416930979791130e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.962500000000000000e+01,6.507483264360473734e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.975000000000000000e+01,7.072225131923073238e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.987500000000000000e+01,6.757164701585130398e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.000000000000000000e+01,5.672266394740837625e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.012500000000000000e+01,4.087735696033011149e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.025000000000000000e+01,2.371149786120194840e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.037500000000000000e+01,9.235461022558150438e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
